iter	RMSE
0	4.934253755
1	4.849193372
2	4.769273322
3	4.688511265
4	4.61844546
5	4.534535815
6	4.467138771
7	4.387354152
8	4.317136175
9	4.253928714
10	4.173912575
11	4.100504336
12	4.042836418
13	3.983104831
14	3.933647317
15	3.885006988
16	3.826127367
17	3.773699355
18	3.724472377
19	3.659985967
20	3.607107345
21	3.570751693
22	3.517936523
23	3.472647869
24	3.426137022
25	3.378212653
26	3.337249769
27	3.288118709
28	3.247238447
29	3.20385118
30	3.157880504
31	3.114350275
32	3.066942499
33	3.031812044
34	2.998756037
35	2.963662409
36	2.914333797
37	2.873954501
38	2.841394946
39	2.806371606
40	2.773055504
41	2.735993909
42	2.707393376
43	2.679658564
44	2.654718624
45	2.626054458
46	2.600050787
47	2.573358793
48	2.54779924
49	2.52490754
50	2.497052924
51	2.468687079
52	2.437779826
53	2.418236948
54	2.385988977
55	2.371095252
56	2.346072044
57	2.323133412
58	2.301315072
59	2.274088275
60	2.25294265
61	2.228127574
62	2.205316414
63	2.180928109
64	2.160888942
65	2.139926833
66	2.12101414
67	2.104645897
68	2.083473699
69	2.058965304
70	2.042573954
71	2.024160657
72	2.003270411
73	1.985374748
74	1.969357393
75	1.949038486
76	1.929607975
77	1.910211877
78	1.892804113
79	1.877357226
80	1.863978872
81	1.851231694
82	1.835108756
83	1.818721779
84	1.801945712
85	1.784592529
86	1.768425416
87	1.753422645
88	1.737336873
89	1.720406288
90	1.704776192
91	1.690605112
92	1.678863475
93	1.662740803
94	1.650277545
95	1.638308262
96	1.626255424
97	1.611225963
98	1.598590804
99	1.585913902
100	1.571080418
101	1.559074499
102	1.550387103
103	1.540755774
104	1.528665463
105	1.52000051
106	1.503209897
107	1.491324803
108	1.485343861
109	1.476282642
110	1.464634628
111	1.450254229
112	1.442571498
113	1.432328917
114	1.42491816
115	1.413359873
116	1.403509012
117	1.39883789
118	1.38959485
119	1.378488434
120	1.368394175
121	1.357297122
122	1.347395497
123	1.337459992
124	1.332943034
125	1.321651129
126	1.311027216
127	1.301587359
128	1.294110183
129	1.285324559
130	1.279188276
131	1.270852673
132	1.262081174
133	1.258355811
134	1.252033613
135	1.241931657
136	1.230531878
137	1.221189496
138	1.21495744
139	1.204645898
140	1.198312704
141	1.188728832
142	1.179733344
143	1.175505505
144	1.166212175
145	1.156934588
146	1.149955121
147	1.143443693
148	1.13650943
149	1.132904708
150	1.123967223
151	1.118159181
152	1.110593034
153	1.105237535
154	1.099052237
155	1.096036203
156	1.092718374
157	1.088040877
158	1.08345374
159	1.07999741
160	1.074397942
161	1.066723259
162	1.060145485
163	1.053215911
164	1.046762441
165	1.042547275
166	1.037719167
