iter	Passed	Remaining
0	1	1098
1	2	739
2	3	795
3	5	828
4	6	816
5	8	855
6	10	877
7	11	876
8	13	874
9	14	884
10	16	882
11	17	862
12	19	861
13	20	858
14	21	855
15	24	896
16	25	865
17	26	866
18	28	871
19	30	880
20	31	868
21	33	871
22	34	858
23	34	839
24	36	838
25	38	841
26	39	840
27	41	837
28	42	836
29	43	834
30	45	831
31	46	830
32	48	828
33	49	825
34	51	826
35	51	811
36	53	813
37	54	801
38	55	794
39	56	793
40	58	793
41	58	779
42	60	779
43	61	778
44	62	776
45	64	776
46	65	775
47	67	770
48	68	773
49	70	772
50	71	767
51	72	766
52	73	760
53	74	751
54	75	752
55	76	742
56	78	743
57	79	742
58	81	743
59	82	744
60	84	743
61	85	745
62	87	746
63	89	749
64	90	748
65	92	748
66	94	748
67	95	750
68	97	748
69	98	747
70	100	746
71	100	739
72	102	738
73	102	729
74	103	723
75	104	722
76	105	715
77	106	710
78	107	709
79	108	702
80	109	701
81	110	700
82	111	695
83	112	688
84	113	685
85	114	684
86	116	684
87	117	683
88	118	682
89	119	679
90	121	678
91	122	678
92	123	674
93	124	671
94	126	670
95	127	670
96	129	669
97	130	666
98	130	661
99	132	660
100	133	659
101	133	653
102	135	652
103	135	647
104	137	646
105	138	644
106	139	643
107	140	642
108	141	638
109	143	637
110	144	637
111	146	636
112	146	631
113	147	628
114	148	628
115	149	624
116	150	621
117	151	619
118	152	618
119	154	617
120	155	616
121	157	616
122	158	615
123	159	612
124	160	611
125	162	610
126	163	609
127	165	609
128	166	608
129	168	607
130	169	606
131	170	606
132	172	605
133	173	601
134	174	601
135	175	600
136	177	599
137	178	598
138	180	597
139	181	596
140	182	594
141	184	593
142	185	592
143	186	592
144	188	591
145	188	587
146	190	586
147	191	585
148	192	582
149	193	581
150	195	580
151	196	579
152	197	576
153	198	575
154	200	574
155	201	573
156	202	572
157	203	569
158	204	568
159	206	567
160	207	566
161	208	563
162	209	562
163	211	561
164	212	560
165	214	559
166	215	559
167	216	556
168	217	555
169	219	555
170	220	553
171	222	552
172	223	552
173	225	551
174	226	550
175	228	550
176	229	547
177	230	546
178	232	546
179	233	545
180	235	544
181	236	543
182	238	542
183	238	539
184	239	538
185	241	537
186	242	535
187	244	534
188	245	533
189	246	532
190	248	531
191	249	530
192	250	528
193	252	527
194	253	526
195	254	524
196	255	523
197	257	522
198	258	521
199	259	519
200	261	518
201	262	517
202	264	516
203	265	515
204	266	514
205	268	513
206	269	511
207	270	510
208	272	509
209	273	508
210	275	507
211	276	506
212	277	504
213	279	503
214	280	502
215	282	501
216	283	500
217	284	499
218	286	497
219	287	496
220	289	495
221	290	494
222	291	493
223	293	491
224	294	490
225	295	489
226	297	488
227	298	487
228	299	485
229	301	484
230	302	483
231	304	482
232	305	481
233	306	479
234	308	478
235	309	477
236	310	476
237	312	475
238	313	473
239	314	472
240	316	471
241	317	469
242	319	468
243	320	467
244	321	466
245	323	465
246	324	463
247	325	462
248	327	461
249	328	460
250	330	458
251	331	457
252	332	456
253	334	455
254	335	454
255	337	453
256	338	452
257	340	451
258	341	449
259	343	448
260	344	447
261	345	446
262	347	444
263	348	443
264	349	442
265	351	441
266	352	439
267	354	438
268	355	437
269	356	436
270	358	434
271	359	433
272	361	432
273	362	431
274	364	430
275	365	429
276	367	428
277	368	427
278	370	425
279	371	424
280	372	423
281	374	421
282	375	420
283	376	419
284	378	418
285	379	416
286	380	415
287	381	413
288	383	412
289	384	411
290	385	409
291	387	408
292	388	407
293	389	405
294	390	404
295	392	402
296	393	401
297	395	400
298	396	399
299	397	397
300	399	396
301	400	395
302	402	394
303	403	392
304	404	391
305	406	390
306	407	388
307	409	387
308	410	386
309	411	385
310	413	384
311	414	382
312	416	381
313	417	380
314	418	379
315	420	377
316	421	376
317	423	375
318	424	373
319	425	372
320	427	371
321	428	370
322	429	368
323	431	367
324	432	366
325	434	364
326	435	363
327	436	362
328	438	360
329	440	360
330	441	358
331	442	357
332	443	355
333	445	354
334	446	353
335	448	352
336	449	350
337	450	349
338	452	348
339	453	346
340	454	345
341	455	343
342	457	342
343	458	341
344	460	340
345	461	338
346	462	337
347	464	336
348	465	334
349	466	333
350	468	332
351	470	331
352	471	329
353	472	328
354	473	326
355	474	324
356	475	323
357	475	321
358	477	320
359	478	319
360	480	317
361	481	316
362	482	315
363	484	313
364	485	312
365	487	311
366	488	310
367	489	308
368	490	306
369	491	305
370	493	304
371	494	303
372	495	301
373	497	300
374	498	299
375	499	297
376	501	296
377	502	295
378	504	293
379	505	292
380	506	291
381	507	289
382	509	288
383	510	287
384	511	285
385	513	284
386	514	283
387	515	281
388	517	280
389	518	279
390	519	277
391	521	276
392	522	275
393	524	273
394	525	272
395	526	271
396	527	269
397	528	268
398	529	266
399	530	265
400	532	264
401	533	262
402	534	261
403	536	260
404	537	258
405	538	257
406	540	256
407	541	254
408	543	253
409	545	252
410	546	251
411	547	249
412	549	248
413	550	247
414	551	245
415	552	244
416	553	243
417	555	241
418	556	240
419	557	239
420	559	237
421	560	236
422	562	235
423	563	233
424	564	232
425	566	231
426	567	229
427	568	228
428	570	227
429	571	226
430	573	224
431	574	223
432	575	222
433	577	220
434	578	219
435	579	218
436	581	216
437	582	215
438	584	214
439	585	212
440	586	211
441	588	210
442	589	208
443	591	207
444	592	206
445	593	205
446	595	203
447	596	202
448	598	201
449	599	199
450	601	198
451	602	197
452	604	196
453	605	194
454	607	193
455	608	192
456	609	190
457	611	189
458	612	188
459	614	186
460	615	185
461	616	184
462	618	182
463	619	181
464	621	180
465	622	178
466	623	177
467	625	176
468	626	175
469	628	173
470	629	172
471	630	171
472	632	169
473	633	168
474	635	167
475	636	165
476	637	164
477	639	163
478	640	161
479	641	160
480	642	158
481	643	157
482	645	156
483	646	154
484	648	153
485	649	152
486	650	151
487	652	149
488	653	148
489	655	147
490	656	145
491	657	144
492	659	143
493	660	141
494	661	140
495	663	139
496	664	137
497	666	136
498	667	135
499	668	133
500	670	132
501	671	131
502	672	129
503	674	128
504	675	127
505	677	125
506	678	124
507	679	123
508	681	121
509	682	120
510	684	119
511	685	117
512	686	116
513	688	115
514	689	113
515	690	112
516	692	111
517	693	109
518	695	108
519	696	107
520	697	105
521	699	104
522	700	103
523	702	101
524	703	100
525	704	99
526	706	97
527	707	96
528	708	95
529	710	93
530	711	92
531	713	91
532	714	89
533	715	88
534	717	87
535	718	85
536	719	84
537	721	83
538	722	81
539	724	80
540	725	79
541	726	77
542	728	76
543	729	75
544	730	73
545	731	72
546	733	71
547	734	69
548	736	68
549	737	67
550	739	65
551	740	64
552	741	63
553	743	61
554	743	60
555	745	58
556	746	57
557	747	56
558	748	54
559	749	53
560	751	52
561	752	50
562	753	49
563	755	48
564	756	46
565	758	45
566	759	44
567	760	42
568	762	41
569	763	40
570	765	38
571	766	37
572	767	36
573	769	34
574	770	33
575	771	32
576	773	30
577	774	29
578	776	28
579	777	26
580	778	25
581	780	24
582	781	22
583	782	21
584	784	20
585	785	18
586	787	17
587	788	16
588	789	14
589	791	13
590	792	12
591	794	10
592	795	9
593	797	8
594	798	6
595	800	5
596	801	4
597	802	2
598	804	1
599	805	0
